No.	Cable System	Length (km)	RFS	Total Landing Points	Description
1	SEA-ME-WE 4	20,000	November 2005	16	South East Asia–Middle East–Western Europe 4 (SEA-ME-WE 4) is a major international submarine fiber optic cable spanning approximately 18,800 km. Commissioned in 2005, it links Southeast Asia to Europe through the Middle East and serves as one of Malaysia’s primary global internet gateways. It supports high-capacity voice, internet, cloud, and enterprise traffic between 16 landing stations across Asia, Africa, and Europe.
2	SEA-ME-WE 5	20,000	December 2016	17	South East Asia–Middle East–Western Europe  5 (SEA-ME-WE 5) is the next-generation successor to SMW-4, stretching roughly 20,000 km from Singapore to France and Italy. Operational since 2016, it offers much higher bandwidth using advanced 100G DWDM optical technology, enabling lower latency and higher reliability for growing international traffic demands such as cloud computing, streaming, and data center interconnectivity.
3	BBG	8,100	March 2016	6	Bay of Bengal Gateway (BBG) is a regional high-capacity submarine cable connecting Malaysia, Singapore, India, Sri Lanka, Oman, and the UAE. Designed to improve connectivity across South Asia and the Middle East, BBG provides strong route diversity and redundancy, helping reduce congestion on traditional SEA-ME-WE routes.
4	AAG	20,000	November 2009	10	Asia-America Gateway (AAG) is one of the longest trans-Pacific submarine cable systems, connecting Southeast Asia directly to the United States (California and Hawaii). It enables large-scale internet traffic between Asia and North America and is essential for international content delivery, cloud services, and trans-Pacific communications.
5	APCN-2	19,000	November 2001	10	Asia Pacific Cable Network 2 (APCN-2) is a regional submarine cable system connecting major East Asian telecommunications hubs including Japan, China, Korea, Hong Kong, Singapore, Philippines, Taiwan, and Malaysia. It plays a critical role in regional internet exchange and high-speed enterprise communications.
6	CM	6,900	February 2013	8	CM (Cable Malaysia) is a regional cable system supporting data exchange between Malaysia and neighbouring Asian hubs such as Japan, Hong Kong, Singapore, and the Philippines. It strengthens regional bandwidth capacity and provides additional redundancy for mission-critical network services.
7	BDM	400	December 2011	3	Batam–Dumai–Melaka (BDM) is a regional cable linking Indonesia and Malaysia across the Strait of Malacca. It improves bilateral telecommunications traffic, cross-border enterprise connectivity, and international transit routing between both countries.
8	DMCS	159	2005	2	Dumai–Melaka Cable System (DMCS) is a short-haul submarine cable connecting Dumai, Indonesia to Melaka, Malaysia. It provides resilient cross-strait communication and acts as an important backup path for regional internet traffic.
9	MCT	1,300	March 2017	3	Malaysia–Cambodia–Thailand (MCT) is a regional cable network that improves digital connectivity between mainland Southeast Asia and Malaysia. It supports growing internet usage, business traffic, and future 5G backhaul requirements across ASEAN.
10	NuGate	1,071	2017	3	NuGate is a regional carrier-neutral connectivity platform linking Singapore, Batam, and Jakarta. Unlike traditional consortium cables, it focuses on efficient IP transit, peering, and data center interconnection, enabling flexible enterprise-grade connectivity.
11	SAT3-WASC-SAFE	27,850	April 2002	16	SAT3-WASC-SAFE is a long-haul submarine cable connecting Europe, West Africa, South Africa, and Asia. This cable significantly improved digital connectivity for African nations by providing international broadband capacity and reduced dependency on satellite links.
12	MDSCS	4,134	1995	7	Malaysia Domestic Submarine Cable System (MDSCS) was designed to improve domestic connectivity between Peninsular Malaysia and East Malaysia. It served as an early backbone for national broadband expansion but is currently no longer operational.
13	BPS	15.84	September 1996	3	Bayan Baru–Pulau Jerejak–Seberang Jaya (BPS) is a short domestic submarine cable system in Penang, supporting metropolitan connectivity and providing resilient local telecommunications links between mainland and island infrastructure.
14	Langkawi-Kuala Perlis	33.62	February 1996	2	This domestic cable connects Langkawi Island to mainland Kedah/Perlis, ensuring stable broadband, mobile backhaul, and tourism-related connectivity services for the island.
15	SKR1M SKRM			6	SKR1M (Submarine Kabel Rakyat 1Malaysia) was introduced to extend broadband access to underserved communities in East Malaysia and coastal regions. It supports rural digital inclusion by connecting remote landing stations to the national backbone.
16	Stingray (Lumut-Pulau Pangkor)	3.3	September 2018	2	A domestic submarine cable designed to provide reliable high-speed connectivity between Lumut and Pulau Pangkor, supporting residents, tourism, and businesses.
17	Stingray (Rompin-Pulau Tioman)	75.2	September 2018	2	This cable connects Rompin to Pulau Tioman, ensuring stable broadband and telecommunications services for island communities and tourism operators.
18	Stingray (Kuala Besut-Pulau Perhentian)	19.5	September 2018	2	Provides critical telecommunications connectivity between Kuala Besut and the Perhentian Islands, supporting hospitality, emergency services, and local businesses.
19	STINGRAY II - Pulau Ketam	35	May 2023	3	An upgraded island connectivity project that delivers better broadband services to Pulau Ketam, improving internet access for residents and commercial users.
20	STINGRAY II - Pulau Redang	30	May 2023	2	Designed to enhance digital connectivity for Pulau Redang, this cable improves broadband capacity for tourism operations, marine monitoring, and local communications.
